Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-01-04,HINDUNILVR,EQ,264.8,264.8,266.2,264.1,264.85,264.7,264.89,668858,17717370705000.0,,461681,0.6903
2010-01-05,HINDUNILVR,EQ,264.7,265.75,266.4,262.5,263.3,263.85,263.83,1392726,36744041030000.0,,890136,0.6391
2010-01-06,HINDUNILVR,EQ,263.85,264.75,266.0,262.6,265.35,265.35,264.45,1682107,44482579940000.0,,1250492,0.7434000000000001
2010-01-07,HINDUNILVR,EQ,265.35,265.1,267.25,264.15,264.85,264.8,265.42,2723548,72289073990000.0,,1860219,0.6829999999999999
2010-01-08,HINDUNILVR,EQ,264.8,265.1,267.0,264.15,266.6,265.95,265.12,4000986,106075744925000.0,,3528095,0.8818000000000001
2010-01-11,HINDUNILVR,EQ,265.95,266.6,268.35,265.6,266.0,266.1,267.03,2251471,60121158415000.0,,1736196,0.7711
2010-01-12,HINDUNILVR,EQ,266.1,266.0,266.75,260.55,262.25,262.15,262.76,3826930,100555327205000.0,,3065321,0.8009999999999999
2010-01-13,HINDUNILVR,EQ,262.15,262.0,263.75,260.75,262.5,262.5,262.24,1917571,50286661990000.0,,1438488,0.7502
2010-01-14,HINDUNILVR,EQ,262.5,262.6,263.6,255.3,256.3,256.05,258.14,3583983,92518669675000.0,,2520634,0.7033
2010-01-15,HINDUNILVR,EQ,256.05,257.75,258.75,255.9,256.0,256.4,257.05,4361271,112107072790000.02,,3677734,0.8433
2010-01-18,HINDUNILVR,EQ,256.4,256.5,258.35,254.55,257.0,257.3,255.74,1088348,27832893470000.0,,629990,0.5788000000000001
2010-01-19,HINDUNILVR,EQ,257.3,257.75,257.75,254.6,255.05,255.45,255.66,1122943,28708824410000.004,,722987,0.6437999999999999
2010-01-20,HINDUNILVR,EQ,255.45,256.0,258.6,253.5,258.0,257.8,255.79,2198874,56244384850000.0,,1719695,0.7820999999999999
2010-01-21,HINDUNILVR,EQ,257.8,258.0,261.1,255.65,256.55,256.75,258.79,3093875,80067646040000.0,,2517812,0.8138
2010-01-22,HINDUNILVR,EQ,256.75,253.0,259.15,251.95,255.7,257.95,256.96,5117085,131488442570000.0,,4367929,0.8536
2010-01-25,HINDUNILVR,EQ,257.95,258.7,264.55,255.5,264.25,263.95,261.99,4355123,114098475840000.02,,3664359,0.8414
2010-01-27,HINDUNILVR,EQ,263.95,263.0,263.0,254.7,258.35,259.35,259.57,9203979,238909966100000.0,,7164315,0.7784000000000001
2010-01-28,HINDUNILVR,EQ,259.35,258.2,261.75,253.35,255.15,255.3,257.44,5049389,129991233975000.0,,3287651,0.6511
2010-01-29,HINDUNILVR,EQ,255.3,251.55,252.2,241.05,244.0,242.3,244.45,6496604,158810037115000.0,,4414327,0.6795
2010-02-01,HINDUNILVR,EQ,242.3,243.8,243.8,234.75,236.85,237.25,237.39,4987343,118392419159999.98,,3810962,0.7641
2010-02-02,HINDUNILVR,EQ,237.25,238.5,240.0,235.0,236.5,236.5,236.8,6004275,142178671220000.0,,4312309,0.7182
2010-02-03,HINDUNILVR,EQ,236.5,237.75,238.5,235.3,236.3,236.45,236.57,1595241,37738971640000.0,,841643,0.5276
2010-02-04,HINDUNILVR,EQ,236.45,237.1,239.35,230.5,230.5,231.05,234.65,3017883,70815153920000.0,,1691983,0.5607
2010-02-05,HINDUNILVR,EQ,231.05,229.5,234.4,227.0,228.75,229.05,230.8,4345866,100302041345000.0,,2882996,0.6634000000000001
2010-02-06,HINDUNILVR,EQ,229.05,230.05,231.85,230.05,231.25,231.0,231.08,130909,3025024390000.0,,51226,0.39130000000000004
2010-02-08,HINDUNILVR,EQ,231.0,231.0,238.2,229.75,237.5,236.5,234.06,3139856,73492940600000.0,,2015711,0.642
2010-02-09,HINDUNILVR,EQ,236.5,238.0,238.0,232.3,232.6,232.6,234.25,2435031,57039413640000.0,,1669925,0.6858
2010-02-10,HINDUNILVR,EQ,232.6,233.5,233.95,229.15,229.6,230.1,230.83,2864300,66116065940000.0,,1840546,0.6426000000000001
2010-02-11,HINDUNILVR,EQ,230.1,230.5,234.45,230.5,233.95,233.4,232.59,2299826,53491148510000.0,,1809669,0.7869
2010-02-15,HINDUNILVR,EQ,233.4,233.4,234.85,229.0,229.2,229.75,230.88,1594781,36820010445000.0,,1037889,0.6508
2010-02-16,HINDUNILVR,EQ,229.75,230.0,238.55,229.3,238.1,237.15,234.56,2253497,52857300900000.0,,1684539,0.7475
2010-02-17,HINDUNILVR,EQ,237.15,238.5,244.65,238.5,240.5,240.55,241.82,3428957,82917902025000.0,,2473443,0.7212999999999999
2010-02-18,HINDUNILVR,EQ,240.55,240.6,243.9,238.3,242.95,242.5,241.25,955635,23054422010000.0,,701150,0.7337
2010-02-19,HINDUNILVR,EQ,242.5,242.0,245.45,237.15,242.5,241.0,240.89,4582596,110388886250000.0,,3438380,0.7503000000000001
2010-02-22,HINDUNILVR,EQ,241.0,244.0,247.35,242.0,244.85,246.15,244.32,2280787,55724676004999.99,,1634513,0.7166
2010-02-23,HINDUNILVR,EQ,246.15,244.0,245.9,242.75,244.5,244.9,244.4,908983,22215343760000.0,,478793,0.5267000000000001
